sample_id	donor_id	tissue	ex5_6	ex6_7	log_ex5_6	log_ex6_7
"GTEX-14JIY-0011-R9a-SM-6EU34"	"GTEX-14JIY"	"Brain - Spinal cord (cervical c-1)"	69	44	4.24849524204936	3.80666248977032
"GTEX-14JIY-2326-SM-6AJAJ"	"GTEX-14JIY"	"Brain - Cerebellum"	24	17	3.2188758248682	2.89037175789616
"GTEX-14JIY-2926-SM-69LPT"	"GTEX-14JIY"	"Brain - Cortex"	61	56	4.12713438504509	4.04305126783455
"GTEX-14LLW-0011-R1a-SM-5ZZVD"	"GTEX-14LLW"	"Brain - Hippocampus"	18	12	2.94443897916644	2.56494935746154
"GTEX-14LLW-0011-R3b-SM-62LFW"	"GTEX-14LLW"	"Brain - Anterior cingulate cortex (BA24)"	79	74	4.38202663467388	4.31748811353631
"GTEX-14LLW-0011-R5b-SM-5ZZU6"	"GTEX-14LLW"	"Brain - Caudate (basal ganglia)"	56	32	4.04305126783455	3.49650756146648
"GTEX-14LLW-0011-R8a-SM-62LFG"	"GTEX-14LLW"	"Brain - Hypothalamus"	14	6	2.70805020110221	1.94591014905531
"GTEX-14LZ3-0011-R10b-SM-6AJA9"	"GTEX-14LZ3"	"Brain - Frontal Cortex (BA9)"	34	33	3.55534806148941	3.52636052461616
"GTEX-14LZ3-0011-R1a-SM-69LP5"	"GTEX-14LZ3"	"Brain - Hippocampus"	63	57	4.15888308335967	4.06044301054642
"GTEX-14LZ3-0011-R3a-SM-664NQ"	"GTEX-14LZ3"	"Brain - Anterior cingulate cortex (BA24)"	31	35	3.46573590279973	3.58351893845611
"GTEX-14LZ3-0011-R5b-SM-5ZZV8"	"GTEX-14LZ3"	"Brain - Caudate (basal ganglia)"	39	36	3.68887945411394	3.61091791264422
"GTEX-14LZ3-0011-R6a-SM-D3L8C"	"GTEX-14LZ3"	"Brain - Nucleus accumbens (basal ganglia)"	43	49	3.78418963391826	3.91202300542815
"GTEX-14LZ3-0011-R7a-SM-69LQN"	"GTEX-14LZ3"	"Brain - Putamen (basal ganglia)"	60	33	4.11087386417331	3.52636052461616
